timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659511454922,15211,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-41,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15192,0,108
1659511455274,14922,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14864,0,108
1659511465855,4446,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4446,0,0
1659511455635,14725,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14640,0,108
1659511465447,5125,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5125,0,0
1659511465701,4910,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4910,0,0
1659511465650,5182,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-45,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5182,0,0
1659511456215,14732,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14701,0,103
1659511465923,5456,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5456,0,0
1659511468020,3585,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3585,0,0
1659511456228,15536,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15500,0,106
1659511468144,3679,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3679,0,0
1659511466576,5475,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-46,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5475,0,0
1659511467116,5553,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-49,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5553,0,0
1659511467682,5107,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5107,0,0
1659511467533,5506,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5506,0,0
1659511468549,4499,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,4499,0,0
1659511456878,16199,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16106,0,108
1659511468115,5000,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5000,0,0
1659511467389,5726,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5726,0,0
1659511469880,3371,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-50,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3371,0,0
1659511467571,5681,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-43,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5681,0,0
1659511468123,5221,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5221,0,0
1659511468956,4566,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4566,0,0
1659511468688,4928,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4928,0,0
